UserID,Age,Gender,TotalCoursesEnrolled,AvgSpending,AvgCourseRating,DiversityScore,FirstEnrollDate,LastEnrollDate,PreferredCategory,PreferredLevel,ActiveDays,EnrollmentFrequency,LearningDepthIndex,Cluster
U00001,15,Male,1,394.26,1.35,1,2025-11-02,2025-11-02,Cybersecurity,Intermediate,1,1.0,0.0,2
U00002,29,Female,1,0.0,2.88,1,2025-07-15,2025-07-15,Programming,Beginner,1,1.0,0.0,3
U00003,33,Female,11,55.81636363636364,2.889090909090909,7,2025-01-13,2025-11-16,Marketing,Advanced,308,0.03571428571428571,0.8,1
U00004,23,Female,13,75.54230769230769,3.4515384615384614,8,2025-01-06,2025-11-23,Digital Marketing,Intermediate,322,0.040372670807453416,0.6,1
U00005,21,Male,2,173.355,2.0549999999999997,2,2025-09-11,2025-12-03,Programming,Advanced,84,0.023809523809523808,0.5,0
U00006,21,Male,1,0.78,3.89,1,2025-11-19,2025-11-19,Machine Learning,Advanced,1,1.0,1.0,0
U00007,24,Male,1,0.0,1.91,1,2025-03-08,2025-03-08,Cybersecurity,Intermediate,1,1.0,0.0,3
U00008,33,Female,1,0.0,4.1,1,2025-07-30,2025-07-30,Finance,Intermediate,1,1.0,0.0,3
U00009,20,Female,1,276.37,2.72,1,2025-06-19,2025-06-19,Design,Advanced,1,1.0,1.0,0
U00010,34,Female,2,163.01,3.165,2,2025-08-02,2025-10-01,Artificial Intelligence,Beginner,61,0.03278688524590164,0.0,2
U00011,15,Female,2,149.785,3.205,2,2025-03-28,2025-09-24,Data Science,Advanced,181,0.011049723756906077,0.5,0
U00012,15,Female,2,163.995,1.5150000000000001,2,2025-09-08,2025-09-14,Design,Advanced,7,0.2857142857142857,0.5,0
U00013,33,Female,14,102.3092857142857,2.869285714285714,8,2025-01-20,2025-12-22,Machine Learning,Advanced,337,0.04154302670623145,0.8333333333333334,1
U00014,30,Male,1,0.0,1.81,1,2025-04-11,2025-04-11,Machine Learning,Advanced,1,1.0,1.0,0
U00015,27,Female,14,145.36142857142858,2.7607142857142857,10,2025-01-16,2025-12-22,Artificial Intelligence,Beginner,341,0.04105571847507331,0.375,1
U00016,32,Male,1,0.0,4.79,1,2025-09-27,2025-09-27,Marketing,Advanced,1,1.0,1.0,0
U00017,24,Male,3,321.06,4.6499999999999995,3,2025-02-02,2025-11-26,Artificial Intelligence,Beginner,298,0.010067114093959731,0.0,2
U00018,24,Female,16,91.751875,3.1081250000000002,9,2025-01-12,2025-12-13,Artificial Intelligence,Beginner,336,0.047619047619047616,0.5,1
U00019,24,Female,1,0.0,4.51,1,2025-11-10,2025-11-10,Design,Beginner,1,1.0,0.0,3
U00020,27,Female,1,0.0,2.88,1,2025-07-17,2025-07-17,Programming,Beginner,1,1.0,0.0,3
U00021,15,Male,2,88.67,3.135,2,2025-04-08,2025-05-08,Cybersecurity,Advanced,31,0.06451612903225806,2.0,0
U00022,31,Male,1,0.0,4.68,1,2025-05-20,2025-05-20,Project Management,Beginner,1,1.0,0.0,3
U00023,32,Male,1,0.0,4.51,1,2025-06-14,2025-06-14,Design,Beginner,1,1.0,0.0,3
U00024,18,Female,1,0.0,3.93,1,2025-09-27,2025-09-27,Cybersecurity,Intermediate,1,1.0,0.0,3
U00025,34,Male,4,29.76,2.605,4,2025-01-04,2025-08-18,Finance,Advanced,227,0.01762114537444934,1.0,0
U00026,19,Male,1,327.99,1.51,1,2025-11-06,2025-11-06,Project Management,Beginner,1,1.0,0.0,2
U00027,31,Male,2,0.0,2.915,2,2025-07-25,2025-10-08,Cybersecurity,Advanced,76,0.02631578947368421,1.0,0
U00028,30,Female,12,84.38833333333334,3.015,9,2025-01-11,2025-10-23,Finance,Beginner,286,0.04195804195804196,0.6666666666666666,1
U00029,30,Male,1,326.02,2.69,1,2025-07-09,2025-07-09,Business,Intermediate,1,1.0,0.0,2
U00030,34,Male,1,0.0,3.45,1,2025-11-15,2025-11-15,Project Management,Intermediate,1,1.0,0.0,3
U00031,30,Male,1,0.0,2.2,1,2025-10-21,2025-10-21,Web Development,Beginner,1,1.0,0.0,3
U00032,18,Male,1,285.05,1.96,1,2025-04-10,2025-04-10,Business,Beginner,1,1.0,0.0,2
U00033,25,Male,1,276.37,2.72,1,2025-02-02,2025-02-02,Design,Advanced,1,1.0,1.0,0
